,Datum,Inskrivningsdata,Optimala värden,Övre konfidens,Undre konfidens,Övre prediktion,Undre prediktion
78,2020-05-18,915,906.7115884794379,923.6357639883895,889.7874129704862,946.9219922315186,866.5011847273571
79,2020-05-19,929,921.2487862513128,939.70951654354,902.7880559590857,962.129679296474,880.3678932061516
80,2020-05-20,942,935.4913104772587,955.4635946888591,915.5190262656583,977.076656332217,893.9059646223004
81,2020-05-21,956,949.4342638148618,970.8878521229947,927.9806755067289,991.7509898761062,907.1175377536173
82,2020-05-22,972,963.073700877369,985.974381000008,940.17302075473,1006.142134832262,920.005266922476
83,2020-05-23,980,976.4065832988674,1000.7171381096949,952.0960284880399,1020.2409525592755,932.5722140384594
84,2020-05-24,988,989.4307324390868,1015.1116817522758,963.7497831258978,1034.039700269268,944.8217646089057
85,2020-05-25,1002,1005.3941759733189,1032.451746639626,978.3366053070117,1050.8096026872643,959.9787492593733
86,2020-05-26,1015,1021.3858673332277,1049.7597373246158,993.0119973418394,1067.5976120691253,975.1741225973301
87,2020-05-27,1032,1037.3837592337522,1067.0085667095339,1007.7589517579707,1084.3739504572902,990.3935680102142
88,2020-05-28,1046,1053.365426650025,1084.1710869428375,1022.5597663572125,1101.1088823201346,1005.6219709799154
89,2020-05-29,1062,1069.3081783774608,1101.2202320147026,1037.396124740219,1117.772887399529,1020.8434693553925
90,2020-05-30,1080,1085.189174534155,1118.1291694388678,1052.249179629442,1134.3368308116426,1036.0415182566674
91,2020-05-31,1086,1100.9855488066216,1134.871457481987,1067.0996401312564,1150.7721299304822,1051.1989676827611
92,2020-06-01,1102,1114.7943179283789,1149.5659407887495,1080.0226950680083,1165.1879148390121,1064.4007210177456
93,2020-06-02,1119,1128.3871325391633,1163.974819923088,1092.7994451552386,1179.3472379804152,1077.4270270979114
94,2020-06-03,1127,1141.7560303352013,1178.0896023077566,1105.422458362646,1193.2397880218,1090.2722726486027
95,2020-06-04,1138,1154.8936556989445,1191.9027140511582,1117.8845973467307,1206.856327429381,1102.930983968508
96,2020-06-05,1148,1167.7932698124255,1205.407498745725,1130.179040879126,1220.1886805990032,1115.3978590258478
97,2020-06-06,1155,1180.448757336516,1218.5982117015853,1142.2993029714469,1233.2297171762164,1127.6677974968159
98,2020-06-07,1164,1192.8546297280693,1231.470009681378,1154.2392497747605,1245.973330975238,1139.7359284809006
99,2020-06-08,1177,1201.5872756532926,1240.7521265990829,1162.4224247075024,1255.1067525084854,1148.0677987980998
100,2020-06-09,1190,1209.9773080368857,1249.6589767537537,1170.2956393200177,1263.8761362746388,1156.0784797991325
101,2020-06-10,1199,1218.0344343682561,1258.2024860927233,1177.866382643789,1272.2923483770626,1163.7765203594497
102,2020-06-11,1212,1225.7683088043398,1266.3944998012007,1185.1421178074788,1280.3662597563762,1171.1703578523034
103,2020-06-12,1229,1233.1884946936473,1274.246735069152,1192.1302543181425,1288.1086909422067,1178.2682984450878
104,2020-06-13,1236,1240.3044317234649,1281.7707403203106,1198.8381231266192,1295.5303640550824,1185.0784993918473
105,2020-06-14,1245,1247.1254073450634,1288.977860354442,1205.2729543356847,1302.6418614478769,1191.60895324225
106,2020-06-15,1256,1263.4560204104757,1304.9542951696756,1221.957745651276,1318.7059585211884,1208.206082299763
107,2020-06-16,1270,1279.44649645874,1320.4701855205853,1238.4228073968948,1334.3408670033643,1224.5521259141158
108,2020-06-17,1284,1295.0579176249166,1335.4920089407585,1254.6238263090747,1349.5130789393907,1240.6027563104426
109,2020-06-18,1295,1310.2543746913843,1349.9904308014898,1270.518318581279,1364.1932568491839,1256.3154925335848
110,2020-06-19,1303,1325.0032776151102,1363.9405180960698,1286.0660371341505,1378.3564176306672,1271.650137599553
111,2020-06-20,1316,1339.2756139649787,1377.3218793868728,1301.2293485430846,1391.9820382963708,1286.5691896335866
112,2020-06-21,1327,1353.0461503956847,1390.118729639665,1315.9735711517044,1405.0540823392714,1301.038218452098
113,2020-06-22,1329,1360.3403410585613,1397.1104938337965,1323.5701882833262,1412.1331300195902,1308.5475520975324
114,2020-06-23,1338,1367.3830213455792,1403.8262866112655,1330.939756079893,1418.944251319977,1315.8217913711815
115,2020-06-24,1350,1374.1807327594252,1410.2748394515665,1338.0866260672838,1425.4957733533022,1322.8656921655481
116,2020-06-25,1358,1380.740041910384,1416.464833102757,1345.015250718011,1431.7959872937201,1329.6840965270478
117,2020-06-26,1366,1387.0675198701163,1422.4048734501296,1351.730166290103,1437.8531222716476,1336.2819174685849
118,2020-06-27,1369,1393.1697232850177,1428.1034699832403,1358.235976586795,1443.6753220996357,1342.6641244703997
119,2020-06-28,1378,1399.0531771850317,1433.5690167228902,1364.5373376471732,1449.270624673437,1348.8357296966265
120,2020-06-29,1385,1407.0626218312336,1440.7726533189602,1373.352590343507,1456.7296639834603,1357.395579679007
121,2020-06-30,1399,1414.7622653266574,1447.6470688333238,1381.877461819991,1463.8729480231912,1365.6515826301236
122,2020-07-01,1406,1422.1552588197633,1454.1996919789312,1390.1108256605953,1470.7072366346777,1373.603281004849
123,2020-07-02,1414,1429.2454471498456,1460.4385333812759,1398.0523609184154,1477.2397955868125,1381.2510987128787
124,2020-07-03,1421,1436.0373170217008,1466.3721125521154,1405.7025214912862,1483.4783190465275,1388.596314996874
125,2020-07-04,1425,1442.5359439019085,1472.0093859332517,1413.0625018705653,1489.4308544831486,1395.6410333206684
126,2020-07-05,1429,1448.7469381958845,1477.3596765576299,1420.134199834139,1495.1057307794413,1402.3881456123277
127,2020-07-06,1437,1447.4572297872419,1476.6526547002209,1418.261804874263,1494.1779071057156,1400.7365524687682
128,2020-07-07,1441,1445.9467099591202,1475.7760998512967,1416.1173200669436,1493.066147079984,1398.8272728382565
129,2020-07-08,1446,1444.2068147256223,1474.7247438143283,1413.6888856369162,1491.7651247156844,1396.6485047355602
130,2020-07-09,1451,1442.2276285310647,1473.4922270885077,1410.9630299736218,1490.2684858944135,1394.186771167716
131,2020-07-10,1457,1439.997808970289,1472.0710359986863,1407.9245819418918,1488.568795631697,1391.4268223088811
132,2020-07-11,1457,1437.504501533065,1470.4524291176006,1404.5565739485294,1486.6574748445885,1388.3515282215415
133,2020-07-12,1462,1434.7332441633673,1468.6263523586251,1400.8401359681095,1484.5247257278177,1384.941762598917
134,2020-07-13,1467,1441.9720381113875,1474.676674006619,1409.2674022161561,1490.9622622615914,1392.9818139611837
135,2020-07-14,1472,1448.8767331010583,1480.400527295296,1417.3529389068208,1497.0866745410578,1400.6667916610588
136,2020-07-15,1476,1455.4521271452797,1485.8077897039666,1425.096464586593,1502.906474708221,1407.9977795823386
137,2020-07-16,1480,1461.703942103813,1490.9089707877752,1432.4989134198509,1508.4306213532375,1414.9772628543885
138,2020-07-17,1483,1467.6387374240974,1495.7151034972383,1439.5623713509565,1513.6684146456528,1421.609060202542
139,2020-07-18,1484,1473.2638224697068,1500.2376379223394,1446.2900070170742,1518.6293994341877,1427.898245505226
140,2020-07-19,1486,1478.5871685208444,1504.4883382139574,1452.6859988277315,1523.3232774790338,1433.851059562655
141,2020-07-20,1489,1480.3642763472412,1506.0493091238334,1454.679243570649,1524.9755951125744,1435.752957581908
142,2020-07-21,1492,1482.0688277136483,1507.5440834818244,1456.5935719454721,1526.5596976725683,1437.5779577547282
143,2020-07-22,1495,1483.703856750533,1508.975714380541,1458.4319991205252,1528.0785752433746,1439.3291382576915
144,2020-07-23,1500,1485.2722557376528,1510.3471003027564,1460.1974111725492,1529.535069511877,1441.0094419634286
145,2020-07-24,1502,1486.7767813855532,1511.6609928837863,1461.8925698873202,1530.931881149186,1442.6216816219205
146,2020-07-25,1504,1488.2200608767373,1512.9200043243866,1463.520117429088,1532.2715768502499,1444.1685449032248
147,2020-07-26,1505,1489.6045976687105,1514.1266144631313,1465.0825808742898,1533.5565960409508,1445.6525992964703
148,2020-07-27,1506,1490.9327770621317,1515.283177518032,1466.5823766062313,1534.7892572630126,1447.0762968612507
149,2020-07-28,1511,1492.2068715381306,1516.391928507721,1468.02181456854,1535.971764247583,1448.4419788286782
150,2020-07-29,1514,1493.4290458695434,1517.454989362957,1469.40310237613,1537.1062116887247,1449.7518800503622
151,2020-07-30,1515,1494.6013620113727,1518.4743747394912,1470.7283492832541,1538.1945907282784,1451.008133294467
152,2020-07-31,1516,1495.7257837762058,1519.4519975434903,1471.9995700089214,1539.238794163657,1452.2127733887546
